Datasheet 3: Test Dataset,,,
,,,
smiles,DD2,,
O=C1/C=C/CC2(CCN(CC(=O)Nc3cccc4c3CCCC4)CC2)C(=O)NCCCNC(=O)c2ccccc2OCCN1,0,,
CC(C)C(=O)N1CCCCCCCN(C(=O)[C@H](N)Cc2cccc(F)c2)Cc2ccccc21,0,,
COCCC(=O)N1CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)NC(=O)C1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cccc(Cl)c2)CC(=O)N1,0,,
CC(C)C[C@@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCn2ccccc2=O)CC(=O)N1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)Cc2cccc(Cl)c2)CC(=O)N1,0,,
CC[C@@H](C)[C@@H]1NC(=O)[C@H](CCC(=O)N2CC(O)C2)NC(=O)c2ccccc2OC[C@H](CC(C)C)NC1=O,0,,
O=C1CC(C(=O)N2CCC3(CCCCOC[C@@H]4CCCN4C(=O)c4cccc(c4)OC3)CC2)CN1CCc1ccc(F)cc1,0,,
CC(=O)N[C@H](C(=O)N1CC[C@@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@H]2C1)CCOCC3)[C@@H](C)OC(C)(C)C,0,,
COc1cccc(N(C)CCC(=O)N2CCCCCCCCN(C(=O)CC(C)C)c3ccccc3C2)c1,0,,
CC(C)C[C@@H]1NC(=O)C2(C/C=C/C[C@H]3COCC[C@H]3NC1=O)CCN(CC(=O)Nc1ccc(C(F)(F)F)cc1)CC2,0,,
Cc1c(C(=O)N2CCC3(CCCCNC(=O)c4ccccc4OCCN(C)C3=O)CC2)oc2ccc(F)cc12,0,,
COc1ccc(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OC[C@H](C(C)C)NC(=O)C2)cc1,0,,
CCCc1cc(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OC[C@H](C(C)C)NC(=O)C2)no1,0,,
CCN1CCN(CC(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OC[C@@H](CC(C)C)NC(=O)C2)CC1,0,,
CC(C)C[C@@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2nccc3ccccc23)CC(=O)N1,0,,
CC(C)[C@H]1NC(=O)[C@H](CCC(=O)N2CCC(O)CC2)NC(=O)c2cc(Cl)ccc2OC[C@H](Cc2ccccc2)N(C)C1=O,0,,
COc1ccc(-n2nc(C(=O)N3CCC4(CCCCOC[C@@H]5CCCN5C(=O)c5cccc(c5)OC4)CC3)nc2C)cc1,0,,
O=C1N[C@@H]2CCN(C(=O)CCc3nc4ccccc4[nH]3)C[C@@H]2C/C=C/CC2(CCOCC2)C(=O)N[C@H]1Cc1ccccc1,0,,
CC(C)c1noc(CCC(=O)N2CCC3(CCCCc4ccccc4OCCN(C(C)C)C3=O)CC2)n1,0,,
COc1ccccc1N1CCN(C(=O)CN2CCC3(C/C=C/Cc4ccccc4OCCNC3=O)CC2)CC1,0,,
COc1ccc(F)cc1S(=O)(=O)N1CC[C@@H]2NC(=O)[C@@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3,0,,
O=C1CN(C(=O)CN2CCOCC2)CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)N1,0,,
O=C1CN(C(=O)CCN2CCCC2)CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)N1,0,,
CC(C)C[C@@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc3ncccc3c2)CC(=O)N1,0,,
Cc1nc(CC(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OC[C@@H](CC(C)C)NC(=O)C2)cs1,0,,
CCCCc1nc(CN2CCC3(CCCCc4ccccc4OCCNC(=O)[C@H](C)NC3=O)CC2)c[nH]1,0,,
C[C@H]1Oc2ccccc2CCCCC2(CCN(C(=O)c3ccccc3OCCCN3CCCC3)CC2)CNC1=O,0,,
Cc1ccc(F)c(NC(=O)CN2CC[C@H]3NC(=O)[C@@H](Cc4ccccc4)NC(=O)C4(C/C=C/C[C@@H]3C2)CCOCC4)c1,0,,
COc1cccc(CC(=O)N2CCCCCCCCN(C(=O)c3ccccc3OC)Cc3ccccc32)c1,0,,
CCn1c(CCCC(=O)NC[C@@]2(C)CC[C@@H](C)C[C@H](O)[C@H](O)[C@@H](c3ccccc3)C2)nc2ccccc21,0,,
CCc1ccc(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OC[C@@H](Cc3ccccc3)NC(=O)C2)cc1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2cccc3ncccc23)CC(=O)N1,0,,
O=C1CN(C(=O)c2ncccn2)CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)N1,0,,
CC(C)C[C@@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCc2ccnn2C)CC(=O)N1,0,,
COc1ccc(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OC[C@@H](CC(C)C)NC(=O)C2)cc1F,0,,
Cc1ccccc1-c1ncc(CN2CCC3(CCCCc4ccccc4OCCNC(=O)[C@H](C)NC3=O)CC2)cn1,0,,
Cc1nnc(-c2ccc(C(=O)N3CCC4(CCCCc5ccccc5O[C@H](C)C(=O)NC4)CC3)cc2)o1,0,,
CC(C)[C@H]1NC(=O)C(C)(C)NC(=O)C[C@@H](C(=O)NCCc2ccc3c(c2)OCCO3)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
CC(C)[C@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)C[C@@H](C(=O)NCCc2ccc3c(c2)OCCO3)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
Cc1nn(C)c(C)c1CCNC(=O)[C@@H]1CC(=O)NC2(CCCC2)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C)COc2ccccc2C(=O)N1,0,,
CC(C)[C@H]1NC(=O)C(C)(C)NC(=O)C[C@@H](C(=O)NCc2cccc(CN3CCOCC3)c2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
CC(C)C[C@@H]1NC(=O)C[C@@H](C(=O)NCc2ccc(CN3CCCC3=O)cc2)NC(=O)c2ccccc2OCCN(C)C1=O,0,,
CN1CCOc2ccccc2C(=O)N[C@H](C(=O)NCCCn2ccc(C(F)(F)F)n2)CC(=O)N[C@@H](Cc2c[nH]cn2)C1=O,0,,
COc1ccc(CCCNC(=O)[C@@H]2CC(=O)N[C@@H](CO)C(=O)N(C)CCOc3ccccc3C(=O)N2)cc1OC,0,,
CN1CCCN(C(=O)[C@@H]2CCC(=O)N[C@@H](Cc3ccccc3)C(=O)N(C)CCOc3ccccc3C(=O)N2)CC1,0,,
CC(=O)N1CCCN(C(=O)[C@@H]2CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(C)CCOc3ccccc3C(=O)N2)CC1,0,,
CC(C)[C@H]1NC(=O)[C@H](CC(N)=O)NC(=O)C[C@@H](C(=O)NCCCN2CCOCC2)NC(=O)c2ccccc2OCCNC1=O,0,,
CC(C)[C@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C[C@@H](C(=O)NCCc2cnccn2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
COc1cccc(CCCNC(=O)[C@@H]2CC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C)COc3ccccc3C(=O)N2)c1,0,,
CC(C)[C@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C[C@@H](C(=O)NCCCCN2CCCC2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
